Individual,Class,Amount,Unit
StrawberriesVitaminC,SubstancePortion,58.8,mg/100g
BlueberriesCalcium,SubstancePortion,6,mg/100g
BlueberriesCarbohydrate,SubstancePortion,14.49,g/100g
BlueberriesFat,SubstancePortion,0.33,g/100g
BlueberriesFoodEnergy,SubstancePortion,57,cal/100g
BlueberriesIron,SubstancePortion,0.28,mg/100g
BlueberriesPotassium,SubstancePortion,77,mg/100g
BlueberriesProtein,SubstancePortion,0.74,g/100g
BlueberriesSodium,SubstancePortion,1,mg/100g
BlueberriesVitaminA,SubstancePortion,54,IU/100g
BlueberriesVitaminC,SubstancePortion,9.7,mg/100g
KiwiCalcium,SubstancePortion,34,mg/100g
KiwiCarbohydrate,SubstancePortion,14.66,g/100g
KiwiFat,SubstancePortion,0.52,g/100g
KiwiFoodEnergy,SubstancePortion,61,cal/100g
KiwiIron,SubstancePortion,0.31,mg/100g
KiwiPotassium,SubstancePortion,312,mg/100g
KiwiProtein,SubstancePortion,1.14,g/100g
KiwiSodium,SubstancePortion,3,mg/100g
KiwiVitaminA,SubstancePortion,87,IU/100g
KiwiVitaminC,SubstancePortion,92.7,mg/100g
MandarinOrangesCalcium,SubstancePortion,37,mg/100g
MandarinOrangesCarbohydrate,SubstancePortion,13.34,g/100g
MandarinOrangesFat,SubstancePortion,0.3,g/100g
MandarinOrangesFoodEnergy,SubstancePortion,53,cal/100g
MandarinOrangesIron,SubstancePortion,0.15,mg/100g
MandarinOrangesPotassium,SubstancePortion,166,mg/100g
MandarinOrangesProtein,SubstancePortion,0.81,g/100g
MandarinOrangesSodium,SubstancePortion,2,mg/100g
MandarinOrangesVitaminA,SubstancePortion,681,IU/100g
MandarinOrangesVitaminC,SubstancePortion,26.7,mg/100g
RaisinsCalcium,SubstancePortion,50,mg/100g
RaisinsCarbohydrate,SubstancePortion,79.32,g/100g
RaisinsFat,SubstancePortion,0.25,g/100g
RaisinsFoodEnergy,SubstancePortion,299,cal/100g
RaisinsIron,SubstancePortion,1.88,mg/100g
RaisinsPotassium,SubstancePortion,749,mg/100g
RaisinsProtein,SubstancePortion,3.07,g/100g
RaisinsSodium,SubstancePortion,11,mg/100g
RaisinsVitaminC,SubstancePortion,2.3,mg/100g
MangoCalcium,SubstancePortion,11,mg/100g
MangoCarbohydrate,SubstancePortion,14.98,g/100g
MangoFat,SubstancePortion,0.38,g/100g
MangoFoodEnergy,SubstancePortion,60,cal/100g
MangoIron,SubstancePortion,0.16,mg/100g
MangoPotassium,SubstancePortion,168,mg/100g
MangoProtein,SubstancePortion,0.82,g/100g
MangoSodium,SubstancePortion,1,mg/100g
MangoVitaminA,SubstancePortion,1082,IU/100g
MangoVitaminC,SubstancePortion,36.4,mg/100g
FigsCalcium,SubstancePortion,35,mg/100g
FigsCarbohydrate,SubstancePortion,19.18,g/100g
FigsFat,SubstancePortion,0.3,g/100g
FigsFoodEnergy,SubstancePortion,74,cal/100g
FigsIron,SubstancePortion,0.37,mg/100g
FigsPotassium,SubstancePortion,232,mg/100g
FigsProtein,SubstancePortion,0.75,g/100g
FigsSodium,SubstancePortion,1,mg/100g
FigsVitaminA,SubstancePortion,142,IU/100g
FigsVitaminC,SubstancePortion,2,mg/100g
MaraschinoCherriesCalcium,SubstancePortion,3,mg/100g
MaraschinoCherriesCarbohydrate,SubstancePortion,40,g/100g
MaraschinoCherriesFat,SubstancePortion,0.1,g/100g
MaraschinoCherriesFoodEnergy,SubstancePortion,160,cal/100g
MaraschinoCherriesIron,SubstancePortion,0.02,mg/100g
MaraschinoCherriesPotassium,SubstancePortion,1,mg/100g
MaraschinoCherriesProtein,SubstancePortion,0.1,g/100g
MaraschinoCherriesSodium,SubstancePortion,0.2,mg/100g
MaraschinoCherriesVitaminA,SubstancePortion,0.001,mg/100g
BlueCheeseCrumblesCalcium,SubstancePortion,150,mg/100g
BlueCheeseCrumblesCarbohydrate,SubstancePortion,0.7,g/100g
BlueCheeseCrumblesCholesterol,SubstancePortion,89,mg/100g
BlueCheeseCrumblesFat,SubstancePortion,29,g/100g
BlueCheeseCrumblesFoodEnergy,SubstancePortion,357,cal/100g
BlueCheeseCrumblesPotassium,SubstancePortion,22,mg/100g
BlueCheeseCrumblesProtein,SubstancePortion,21,g/100g
BlueCheeseCrumblesSodium,SubstancePortion,929,mg/100g
BlueCheeseCrumblesVitaminA,SubstancePortion,0.056,mg/100g
FetaCubesOrCrumblesCalcium,SubstancePortion,493,mg/100g
FetaCubesOrCrumblesCarbohydrate,SubstancePortion,4.09,g/100g
FetaCubesOrCrumblesCholesterol,SubstancePortion,89,mg/100g
FetaCubesOrCrumblesFat,SubstancePortion,21.28,g/100g
FetaCubesOrCrumblesFoodEnergy,SubstancePortion,264,cal/100g
FetaCubesOrCrumblesIron,SubstancePortion,0.36,mg/100g
FetaCubesOrCrumblesPotassium,SubstancePortion,62,mg/100g
FetaCubesOrCrumblesProtein,SubstancePortion,14.21,g/100g
FetaCubesOrCrumblesSodium,SubstancePortion,1139,mg/100g
FetaCubesOrCrumblesVitaminA,SubstancePortion,0.125,mg/100g
MozzarellaCalcium,SubstancePortion,505,mg/100g
MozzarellaCarbohydrate,SubstancePortion,3.83,g/100g
MozzarellaCholesterol,SubstancePortion,79,mg/100g
MozzarellaFat,SubstancePortion,20.03,g/100g
MozzarellaFoodEnergy,SubstancePortion,302,cal/100g
MozzarellaIron,SubstancePortion,0.38,mg/100g
MozzarellaPotassium,SubstancePortion,95,mg/100g
MozzarellaProtein,SubstancePortion,25.96,g/100g
MozzarellaSodium,SubstancePortion,627,mg/100g
MozzarellaVitaminA,SubstancePortion,0.143,mg/100g
CheddarCheeseCalcium,SubstancePortion,721,mg/100g
CheddarCheeseCarbohydrate,SubstancePortion,1.28,g/100g
CheddarCheeseCholesterol,SubstancePortion,105,mg/100g
CheddarCheeseFat,SubstancePortion,33.14,g/100g
CheddarCheeseFoodEnergy,SubstancePortion,403,cal/100g
CheddarCheeseIron,SubstancePortion,0.68,mg/100g
CheddarCheesePotassium,SubstancePortion,98,mg/100g
CheddarCheeseProtein,SubstancePortion,24.9,g/100g
