Individual,Class,Amount,Unit
RedBellPepperCarbohydrate,SubstancePortion,6.0,g/100g
RedBellPepperFat,SubstancePortion,0.3,g/100g
RedBellPepperFoodEnergy,SubstancePortion,26,cal/100g
RedBellPepperIron,SubstancePortion,0.43,mg/100g
RedBellPepperPotassium,SubstancePortion,211,mg/100g
RedBellPepperProtein,SubstancePortion,0.99,g/100g
RedBellPepperSodium,SubstancePortion,4,mg/100g
RedBellPepperVitaminA,SubstancePortion,0.157,mg/100g
RedBellPepperVitaminC,SubstancePortion,127.7,mg/100g
GreenBellPepperCalcium,SubstancePortion,10,mg/100g
GreenBellPepperCarbohydrate,SubstancePortion,4.64,g/100g
GreenBellPepperFat,SubstancePortion,0.17,g/100g
GreenBellPepperFoodEnergy,SubstancePortion,20,cal/100g
GreenBellPepperIron,SubstancePortion,0.34,mg/100g
GreenBellPepperPotassium,SubstancePortion,175,mg/100g
GreenBellPepperProtein,SubstancePortion,0.86,g/100g
GreenBellPepperSodium,SubstancePortion,3,mg/100g
GreenBellPepperVitaminA,SubstancePortion,0.018,mg/100g
GreenBellPepperVitaminC,SubstancePortion,80.4,mg/100g
YellowBellPepperCalcium,SubstancePortion,11,mg/100g
YellowBellPepperCarbohydrate,SubstancePortion,6.32,g/100g
YellowBellPepperFat,SubstancePortion,0.21,g/100g
YellowBellPepperFoodEnergy,SubstancePortion,27,cal/100g
YellowBellPepperIron,SubstancePortion,0.46,mg/100g
YellowBellPepperPotassium,SubstancePortion,212,mg/100g
YellowBellPepperProtein,SubstancePortion,1.0,g/100g
YellowBellPepperSodium,SubstancePortion,2,mg/100g
YellowBellPepperVitaminA,SubstancePortion,0.010,mg/100g
YellowBellPepperVitaminC,SubstancePortion,183,mg/100g
BlackOlivesCalcium,SubstancePortion,90,mg/100g
BlackOlivesCarbohydrate,SubstancePortion,6.06,g/100g
BlackOlivesFat,SubstancePortion,9.54,g/100g
BlackOlivesFoodEnergy,SubstancePortion,105,cal/100g
BlackOlivesIron,SubstancePortion,3.31,mg/100g
BlackOlivesPotassium,SubstancePortion,8,mg/100g
BlackOlivesProtein,SubstancePortion,0.88,g/100g
BlackOlivesSodium,SubstancePortion,880,mg/100g
BlackOlivesVitaminA,SubstancePortion,0.019,mg/100g
BlackOlivesVitaminC,SubstancePortion,1.1,mg/100g
KalamataOlivesCarbohydrate,SubstancePortion,13.33,g/100g
KalamataOlivesFat,SubstancePortion,30.0,g/100g
KalamataOlivesFoodEnergy,SubstancePortion,300,cal/100g
KalamataOlivesSodium,SubstancePortion,1733,mg/100g
AsparagusCalcium,SubstancePortion,20,mg/100g
AsparagusCarbohydrate,SubstancePortion,3.88,g/100g
AsparagusFat,SubstancePortion,0.12,g/100g
AsparagusFoodEnergy,SubstancePortion,20,cal/100g
AsparagusIron,SubstancePortion,0.82,mg/100g
AsparagusPotassium,SubstancePortion,202,mg/100g
AsparagusProtein,SubstancePortion,2.2,g/100g
AsparagusSodium,SubstancePortion,12,mg/100g
AsparagusVitaminA,SubstancePortion,0.275,mg/100g
AsparagusVitaminC,SubstancePortion,5.6,mg/100g
GarbanzoBeansCalcium,SubstancePortion,49,mg/100g
GarbanzoBeansCarbohydrate,SubstancePortion,27.42,g/100g
GarbanzoBeansFat,SubstancePortion,2.59,g/100g
GarbanzoBeansFoodEnergy,SubstancePortion,164,cal/100g
GarbanzoBeansIron,SubstancePortion,2.89,mg/100g
GarbanzoBeansPotassium,SubstancePortion,291,mg/100g
GarbanzoBeansProtein,SubstancePortion,8.86,g/100g
GarbanzoBeansSodium,SubstancePortion,24,mg/100g
GarbanzoBeansVitaminA,SubstancePortion,0.003,mg/100g
GarbanzoBeansVitaminC,SubstancePortion,1.3,mg/100g
BlackBeansCalcium,SubstancePortion,27,mg/100g
BlackBeansCarbohydrate,SubstancePortion,23.71,g/100g
BlackBeansFat,SubstancePortion,0.54,g/100g
BlackBeansFoodEnergy,SubstancePortion,132,cal/100g
BlackBeansIron,SubstancePortion,2.1,mg/100g
BlackBeansPotassium,SubstancePortion,355,mg/100g
BlackBeansProtein,SubstancePortion,8.86,g/100g
BlackBeansSodium,SubstancePortion,1,mg/100g
KidneyBeansCalcium,SubstancePortion,28,mg/100g
KidneyBeansCarbohydrate,SubstancePortion,22.8,g/100g
KidneyBeansFat,SubstancePortion,0.5,g/100g
KidneyBeansFoodEnergy,SubstancePortion,127,cal/100g
KidneyBeansIron,SubstancePortion,2.94,mg/100g
KidneyBeansPotassium,SubstancePortion,403,mg/100g
KidneyBeansProtein,SubstancePortion,8.67,g/100g
KidneyBeansSodium,SubstancePortion,2,mg/100g
FarfallePastaCarbohydrate,SubstancePortion,71,g/100g
FarfallePastaFat,SubstancePortion,1.2,g/100g
FarfallePastaFoodEnergy,SubstancePortion,351,cal/100g
FarfallePastaProtein,SubstancePortion,14,g/100g
OrzoPastaCarbohydrate,SubstancePortion,71,g/100g
OrzoPastaFat,SubstancePortion,3.5,g/100g
OrzoPastaFoodEnergy,SubstancePortion,357,cal/100g
OrzoPastaProtein,SubstancePortion,10.7,g/100g
BulgurCalcium,SubstancePortion,18,mg/100g
BulgurCarbohydrate,SubstancePortion,18.58,g/100g
BulgurFat,SubstancePortion,0.24,g/100g
BulgurFoodEnergy,SubstancePortion,83,cal/100g
BulgurIron,SubstancePortion,1.44,mg/100g
BulgurPotassium,SubstancePortion,68,mg/100g
BulgurProtein,SubstancePortion,3.08,g/100g
BulgurSodium,SubstancePortion,5,mg/100g
GreenBeansCalcium,SubstancePortion,37,mg/100g
GreenBeansCarbohydrate,SubstancePortion,7,g/100g
GreenBeansFat,SubstancePortion,0.1,g/100g
GreenBeansFoodEnergy,SubstancePortion,31,cal/100g
GreenBeansIron,SubstancePortion,1,mg/100g
GreenBeansPotassium,SubstancePortion,209,mg/100g
GreenBeansProtein,SubstancePortion,1.8,g/100g
GreenBeansSodium,SubstancePortion,6,mg/100g
GreenBeansVitaminA,SubstancePortion,0.004,mg/100g
GreenBeansVitaminC,SubstancePortion,14,mg/100g
WaxBeansCalcium,SubstancePortion,37,mg/100g
WaxBeansCarbohydrate,SubstancePortion,7.1,g/100g
WaxBeansFat,SubstancePortion,0.1,g/100g
WaxBeansFoodEnergy,SubstancePortion,31,cal/100g
WaxBeansIron,SubstancePortion,1,mg/100g
WaxBeansPotassium,SubstancePortion,209,mg/100g
WaxBeansProtein,SubstancePortion,1.8,g/100g
WaxBeansSodium,SubstancePortion,6,mg/100g
WaxBeansVitaminA,SubstancePortion,0.004,mg/100g
WaxBeansVitaminC,SubstancePortion,14,mg/100g
CookedPastaCalcium,SubstancePortion,7,mg/100g
CookedPastaCarbohydrate,SubstancePortion,24.93,g/100g
CookedPastaFat,SubstancePortion,1.05,g/100g
CookedPastaFoodEnergy,SubstancePortion,131,cal/100g
CookedPastaIron,SubstancePortion,0.63,mg/100g
CookedPastaPotassium,SubstancePortion,44,mg/100g
CookedPastaProtein,SubstancePortion,5.15,g/100g
CookedPastaSodium,SubstancePortion,1,mg/100g
CelerySeedCalcium,SubstancePortion,1240,mg/100g
CelerySeedCarbohydrate,SubstancePortion,41.35,g/100g
CelerySeedFat,SubstancePortion,25.27,g/100g
CelerySeedFoodEnergy,SubstancePortion,392,cal/100g
CelerySeedIron,SubstancePortion,17.1,mg/100g
CelerySeedPotassium,SubstancePortion,1400,mg/100g
CelerySeedProtein,SubstancePortion,18.07,g/100g
CelerySeedSodium,SubstancePortion,160,mg/100g
CelerySeedVitaminA,SubstancePortion,0.003,mg/100g
CelerySeedVitaminC,SubstancePortion,17.1,mg/100g
PickleRelishCalcium,SubstancePortion,3,mg/100g
PickleRelishCarbohydrate,SubstancePortion,35.06,g/100g
PickleRelishFat,SubstancePortion,0.47,g/100g
PickleRelishFoodEnergy,SubstancePortion,130,cal/100g
PickleRelishIron,SubstancePortion,0.87,mg/100g
PickleRelishPotassium,SubstancePortion,25,mg/100g
PickleRelishProtein,SubstancePortion,0.37,g/100g
PickleRelishSodium,SubstancePortion,811,mg/100g
PickleRelishVitaminA,SubstancePortion,0.042,mg/100g
PickleRelishVitaminC,SubstancePortion,1,mg/100g
DijonMustardCalcium,SubstancePortion,58,mg/100g
DijonMustardCarbohydrate,SubstancePortion,7.78,g/100g
DijonMustardFat,SubstancePortion,3.11,g/100g
DijonMustardFoodEnergy,SubstancePortion,66,cal/100g
DijonMustardIron,SubstancePortion,1.6,mg/100g
DijonMustardPotassium,SubstancePortion,152,mg/100g
DijonMustardProtein,SubstancePortion,3.95,g/100g
DijonMustardSodium,SubstancePortion,2383,mg/100g
DijonMustardVitaminA,SubstancePortion,0.02,mg/100g
DijonMustardVitaminC,SubstancePortion,0.3,mg/100g
PowderedSugarCalcium,SubstancePortion,0.4,mg/100g
PowderedSugarCarbohydrate,SubstancePortion,99.6,g/100g
PowderedSugarFat,SubstancePortion,0.1,g/100g
PowderedSugarFoodEnergy,SubstancePortion,389,cal/100g
PowderedSugarPotassium,SubstancePortion,0.3,mg/100g
PowderedSugarSodium,SubstancePortion,1.1,mg/100g
HorseradishCalcium,SubstancePortion,56,mg/100g
HorseradishCarbohydrate,SubstancePortion,11.29,g/100g
HorseradishFat,SubstancePortion,0.69,g/100g
HorseradishFoodEnergy,SubstancePortion,48,cal/100g
HorseradishIron,SubstancePortion,0.42,mg/100g
HorseradishPotassium,SubstancePortion,246,mg/100g
HorseradishProtein,SubstancePortion,1.18,g/100g
HorseradishSodium,SubstancePortion,420,mg/100g
HorseradishVitaminA,SubstancePortion,0.002,mg/100g
HorseradishVitaminC,SubstancePortion,24.9,mg/100g
PaprikaCalcium,SubstancePortion,229,mg/100g
PaprikaCarbohydrate,SubstancePortion,55.74,g/100g
PaprikaFat,SubstancePortion,12.89,g/100g
PaprikaFoodEnergy,SubstancePortion,282,cal/100g
PaprikaIron,SubstancePortion,21.14,mg/100g
PaprikaPotassium,SubstancePortion,2280,mg/100g
PaprikaProtein,SubstancePortion,14.14,g/100g
PaprikaSodium,SubstancePortion,68,mg/100g
PaprikaVitaminA,SubstancePortion,0.524,mg/100g
PaprikaVitaminC,SubstancePortion,0.9,mg/100g
SumacCalcium,SubstancePortion,96,mg/100g
SumacCarbohydrate,SubstancePortion,48.1,g/100g
SumacFat,SubstancePortion,14.4,g/100g
SumacFoodEnergy,SubstancePortion,281,cal/100g
SumacPotassium,SubstancePortion,1962,mg/100g
SumacProtein,SubstancePortion,13.3,g/100g
SumacSodium,SubstancePortion,2850,mg/100g
SumacVitaminA,SubstancePortion,0.011,mg/100g
SumacVitaminC,SubstancePortion,25.5,mg/100g
CroutonsCalcium,SubstancePortion,50,mg/100g
CroutonsCarbohydrate,SubstancePortion,63.5,g/100g
CroutonsFat,SubstancePortion,18.3,g/100g
CroutonsFoodEnergy,SubstancePortion,465,cal/100g
CroutonsIron,SubstancePortion,3.6,mg/100g
CroutonsPotassium,SubstancePortion,150,mg/100g
CroutonsProtein,SubstancePortion,10.8,g/100g
CroutonsSodium,SubstancePortion,698,mg/100g
CroutonsVitaminA,SubstancePortion,0.01,mg/100g
MiniMarshmallowsCarbohydrate,SubstancePortion,96.667,g/100g
MiniMarshmallowsFoodEnergy,SubstancePortion,400,cal/100g
MiniMarshmallowsProtein,SubstancePortion,3.333,g/100g
MiniMarshmallowsSodium,SubstancePortion,67,mg/100g
BreadCalcium,SubstancePortion,144,mg/100g
BreadCarbohydrate,SubstancePortion,49,g/100g
BreadFat,SubstancePortion,3.3,g/100g
BreadFoodEnergy,SubstancePortion,266,cal/100g
BreadIron,SubstancePortion,3.6,mg/100g
BreadPotassium,SubstancePortion,115,mg/100g
BreadProtein,SubstancePortion,8.9,g/100g
BreadSodium,SubstancePortion,491,mg/100g
HeavyWhippingCreamCalcium,SubstancePortion,66,mg/100g
HeavyWhippingCreamCarbohydrate,SubstancePortion,3.0,g/100g
HeavyWhippingCreamCholesterol,SubstancePortion,113,mg/100g
HeavyWhippingCreamFat,SubstancePortion,43.0,g/100g
HeavyWhippingCreamFoodEnergy,SubstancePortion,408,cal/100g
HeavyWhippingCreamProtein,SubstancePortion,3.0,g/100g
HeavyWhippingCreamSodium,SubstancePortion,35,mg/100g
HeavyWhippingCreamVitaminA,SubstancePortion,0.55,mg/100g
GreekYogurtCalcium,SubstancePortion,100,mg/100g
GreekYogurtCarbohydrate,SubstancePortion,4.0,g/100g
GreekYogurtCholesterol,SubstancePortion,13,mg/100g
GreekYogurtFat,SubstancePortion,5.0,g/100g
GreekYogurtFoodEnergy,SubstancePortion,97,cal/100g
GreekYogurtPotassium,SubstancePortion,141,mg/100g
GreekYogurtProtein,SubstancePortion,9.0,g/100g
GreekYogurtSodium,SubstancePortion,35,mg/100g
GreekYogurtVitaminA,SubstancePortion,0.003,mg/100g
YogurtCalcium,SubstancePortion,121,mg/100g
YogurtCarbohydrate,SubstancePortion,4.7,g/100g
YogurtCholesterol,SubstancePortion,13,mg/100g
YogurtFat,SubstancePortion,3.3,g/100g
YogurtFoodEnergy,SubstancePortion,61,cal/100g
YogurtPotassium,SubstancePortion,155,mg/100g
YogurtProtein,SubstancePortion,3.5,g/100g
YogurtSodium,SubstancePortion,46,mg/100g
YogurtVitaminA,SubstancePortion,0.003,mg/100g
MayonnaiseCarbohydrate,SubstancePortion,23900,mg/100g
MayonnaiseCholesterol,SubstancePortion,420,mg/100g
MayonnaiseFat,SubstancePortion,33400,mg/100g
MayonnaiseFoodEnergy,SubstancePortion,390,cal/100g
MayonnaiseIron,SubstancePortion,0.3,mg/100g
MayonnaisePotassium,SubstancePortion,20,mg/100g
MayonnaiseProtein,SubstancePortion,900,mg/100g
MayonnaiseSodium,SubstancePortion,635,mg/100g
MayonnaiseVitaminE,SubstancePortion,13,mg/100g
MayonnaiseLutein,SubstancePortion,0.004,mg/100g
MayonnaiseZeaxanthin,SubstancePortion,0.004,mg/100g
MayonnaiseVitaminB9,SubstancePortion,0.00069,mg/100g
DijonMustardVitaminE,SubstancePortion,5.1,mg/100g
DijonMustardZinc,SubstancePortion,0.1,mg/100g
DijonMustardOmega-3,SubstancePortion,100,mg/100g
DijonMustardVitaminB9,SubstancePortion,0.015,mg/100g
ItalianDressingCarbohydrate,SubstancePortion,10.43,g/100g
ItalianDressingFat,SubstancePortion,28.37,g/100g
ItalianDressingFoodEnergy,SubstancePortion,291,cal/100g
ItalianDressingIron,SubstancePortion,0.2,mg/100g
ItalianDressingPotassium,SubstancePortion,9,mg/100g
ItalianDressingProtein,SubstancePortion,0.38,g/100g
ItalianDressingSodium,SubstancePortion,1120,mg/100g
ItalianDressingVitaminE,SubstancePortion,1,mg/100g
ItalianDressingLutein,SubstancePortion,0.004,mg/100g
ItalianDressingZeaxanthin,SubstancePortion,0.004,mg/100g
ItalianDressingOmega-3,SubstancePortion,100,mg/100g
SaladDressingCarbohydrate,SubstancePortion,14.78,g/100g
SaladDressingCholesterol,SubstancePortion,3,mg/100g
SaladDressingFat,SubstancePortion,21.6,g/100g
SaladDressingFoodEnergy,SubstancePortion,250,cal/100g
SaladDressingIron,SubstancePortion,0.2,mg/100g
SaladDressingPotassium,SubstancePortion,10,mg/100g
SaladDressingProtein,SubstancePortion,0.5,g/100g
SaladDressingSodium,SubstancePortion,640,mg/100g
SaladDressingVitaminE,SubstancePortion,0.5,mg/100g
SaladDressingZinc,SubstancePortion,0.2,mg/100g
SaladDressingOmega-3,SubstancePortion,300,mg/100g
SaladDressingVitaminB9,SubstancePortion,0.01,mg/100g
WorcestershireSauceCarbohydrate,SubstancePortion,19.46,g/100g
WorcestershireSauceFoodEnergy,SubstancePortion,67,cal/100g
WorcestershireSauceIron,SubstancePortion,0.2,mg/100g
WorcestershireSaucePotassium,SubstancePortion,100,mg/100g
WorcestershireSauceSodium,SubstancePortion,1300,mg/100g
WorcestershireSauceVitaminE,SubstancePortion,0.1,mg/100g
WorcestershireSauceZinc,SubstancePortion,0.03,mg/100g
LemonJuiceCalcium,SubstancePortion,6,mg/100g
LemonJuiceCarbohydrate,SubstancePortion,8.63,g/100g
LemonJuiceFoodEnergy,SubstancePortion,25,cal/100g
LemonJuiceIron,SubstancePortion,0.08,mg/100g
LemonJuicePotassium,SubstancePortion,103,mg/100g
LemonJuiceProtein,SubstancePortion,0.38,g/100g
LemonJuiceSodium,SubstancePortion,1,mg/100g
LemonJuiceVitaminC,SubstancePortion,38.7,mg/100g
LemonJuiceVitaminE,SubstancePortion,0.37,mg/100g
LemonJuiceLutein,SubstancePortion,0.0366,mg/100g
LemonJuiceZeaxanthin,SubstancePortion,0.0366,mg/100g
LemonJuiceZinc,SubstancePortion,0.02,mg/100g
LemonJuiceVitaminB9,SubstancePortion,0.011,mg/100g
LimeJuiceCalcium,SubstancePortion,33,mg/100g
LimeJuiceCarbohydrate,SubstancePortion,8.42,g/100g
LimeJuiceFat,SubstancePortion,0.07,g/100g
LimeJuiceFoodEnergy,SubstancePortion,25,cal/100g
LimeJuiceIron,SubstancePortion,0.6,mg/100g
LimeJuicePotassium,SubstancePortion,102,mg/100g
LimeJuiceProtein,SubstancePortion,0.42,g/100g
LimeJuiceSodium,SubstancePortion,2,mg/100g
LimeJuiceVitaminC,SubstancePortion,29.1,mg/100g
LimeJuiceVitaminE,SubstancePortion,0.08,mg/100g
LimeJuiceLutein,SubstancePortion,0.04,mg/100g
LimeJuiceZeaxanthin,SubstancePortion,0.04,mg/100g
LimeJuiceZinc,SubstancePortion,0.03,mg/100g
LimeJuiceVitaminB9,SubstancePortion,0.01,mg/100g
OilFat,SubstancePortion,100,g/100g
OilFoodEnergy,SubstancePortion,884,cal/100g
OliveOilCalcium,SubstancePortion,1,mg/100g
OliveOilFat,SubstancePortion,100,g/100g
OliveOilFoodEnergy,SubstancePortion,884,cal/100g
OliveOilIron,SubstancePortion,0.56,mg/100g
OliveOilPotassium,SubstancePortion,1,mg/100g
OliveOilSodium,SubstancePortion,2,mg/100g
OliveOilVitaminE,SubstancePortion,14,mg/100g
OliveOilOmega-3,SubstancePortion,103,mg/100g
HoneyCalcium,SubstancePortion,6,mg/100g
HoneyCarbohydrate,SubstancePortion,82.4,g/100g
HoneyFoodEnergy,SubstancePortion,304,cal/100g
HoneyIron,SubstancePortion,0.42,mg/100g
HoneyPotassium,SubstancePortion,52,mg/100g
HoneyProtein,SubstancePortion,0.3,g/100g
HoneySodium,SubstancePortion,4,mg/100g
HoneyVitaminC,SubstancePortion,0.5,mg/100g
HoneyVitaminB9,SubstancePortion,0.00042,mg/100g
MapleSyrupCalcium,SubstancePortion,102,mg/100g
MapleSyrupCarbohydrate,SubstancePortion,67.04,g/100g
MapleSyrupFat,SubstancePortion,0.06,g/100g
MapleSyrupFoodEnergy,SubstancePortion,260,cal/100g
MapleSyrupIron,SubstancePortion,0.11,mg/100g
MapleSyrupPotassium,SubstancePortion,212,mg/100g
MapleSyrupProtein,SubstancePortion,0.04,g/100g
MapleSyrupSodium,SubstancePortion,12,mg/100g
MapleSyrupZinc,SubstancePortion,0.82,mg/100g
KetchupCalcium,SubstancePortion,15,mg/100g
KetchupCarbohydrate,SubstancePortion,25.08,g/100g
KetchupFat,SubstancePortion,0.38,g/100g
KetchupFoodEnergy,SubstancePortion,97,cal/100g
KetchupIron,SubstancePortion,0.26,mg/100g
KetchupPotassium,SubstancePortion,321,mg/100g
KetchupProtein,SubstancePortion,1.74,g/100g
KetchupSodium,SubstancePortion,907,mg/100g
KetchupVitaminA,SubstancePortion,0.015,mg/100g
KetchupVitaminC,SubstancePortion,15.1,mg/100g
KetchupZinc,SubstancePortion,0.17,mg/100g
KetchupVitaminB9,SubstancePortion,0.004,mg/100g
BalsamicVinaigretteCarbohydrate,SubstancePortion,5,g/100g
BalsamicVinaigretteFat,SubstancePortion,71.3,g/100g
BalsamicVinaigretteFoodEnergy,SubstancePortion,628,cal/100g
BalsamicVinaigretteProtein,SubstancePortion,4,g/100g
RedWineVinaigretteCarbohydrate,SubstancePortion,7,g/100g
RedWineVinaigretteFat,SubstancePortion,64,g/100g
RedWineVinaigretteFoodEnergy,SubstancePortion,643,cal/100g
AppleCiderVinaigretteCarbohydrate,SubstancePortion,7,g/100g
AppleCiderVinaigretteFat,SubstancePortion,64,g/100g
AppleCiderVinaigretteFoodEnergy,SubstancePortion,571,cal/100g
VinegarCalcium,SubstancePortion,1.05,mg/100g
VinegarCarbohydrate,SubstancePortion,0.1,g/100g
VinegarFoodEnergy,SubstancePortion,3.2,cal/100g
VinegarIron,SubstancePortion,0.03,mg/100g
VinegarPotassium,SubstancePortion,11,mg/100g
VinegarSodium,SubstancePortion,0.8,mg/100g
BalsamicGlazeCarbohydrate,SubstancePortion,47,g/100g
BalsamicGlazeFoodEnergy,SubstancePortion,233,cal/100g
RanchDressingCarbohydrate,SubstancePortion,5.9,g/100g
RanchDressingFat,SubstancePortion,45,g/100g
RanchDressingFoodEnergy,SubstancePortion,430,cal/100g
RanchDressingProtein,SubstancePortion,1.3,g/100g
RanchDressingSodium,SubstancePortion,901,mg/100g
RanchDressingVitaminA,SubstancePortion,0.015,mg/100g
RanchDressingVitaminE,SubstancePortion,2.2,mg/100g
RanchDressingLutein,SubstancePortion,0.004,mg/100g
RanchDressingZeaxanthin,SubstancePortion,0.004,mg/100g
RanchDressingZinc,SubstancePortion,0.17,mg/100g
RanchDressingOmega-3,SubstancePortion,490,mg/100g
RanchDressingVitaminB9,SubstancePortion,0.004,mg/100g
CaesarDressingCarbohydrate,SubstancePortion,3.3,g/100g
CaesarDressingFat,SubstancePortion,58,g/100g
CaesarDressingFoodEnergy,SubstancePortion,542,cal/100g
CaesarDressingProtein,SubstancePortion,2.2,g/100g
CaesarDressingVitaminA,SubstancePortion,0.009,mg/100g
CaesarDressingVitaminC,SubstancePortion,0.3,mg/100g
CaesarDressingVitaminE,SubstancePortion,4.7,mg/100g
CaesarDressingLutein,SubstancePortion,0.004,mg/100g
CaesarDressingZeaxanthin,SubstancePortion,0.004,mg/100g
CaesarDressingZinc,SubstancePortion,0.1,mg/100g
CaesarDressingOmega-3,SubstancePortion,566,mg/100g
CaesarDressingVitaminB9,SubstancePortion,0.012,mg/100g
BaconVitaminE,SubstancePortion,0.43,mg/100g
BaconZinc,SubstancePortion,1.2,mg/100g
BaconOmega-3,SubstancePortion,230,mg/100g
DeliHamVitaminE,SubstancePortion,0.24,mg/100g
DeliHamZinc,SubstancePortion,1.2,mg/100g
DeliHamVitaminB9,SubstancePortion,0.01,mg/100g
DicedChickenVitaminE,SubstancePortion,0.27,mg/100g
DicedChickenZinc,SubstancePortion,1.9,mg/100g
DicedChickenVitaminB9,SubstancePortion,0.004,mg/100g
DeliTurkeyVitaminE,SubstancePortion,0.1,mg/100g
DeliTurkeyZinc,SubstancePortion,2.38,mg/100g
CookedTurkeyVitaminE,SubstancePortion,0.09,mg/100g
CookedTurkeyZinc,SubstancePortion,2.38,mg/100g
TunaVitaminE,SubstancePortion,0.29,mg/100g
TunaZinc,SubstancePortion,0.45,mg/100g
TunaOmega-3,SubstancePortion,1000,mg/100g
CrabZinc,SubstancePortion,8,mg/100g
CrabOmega-3,SubstancePortion,300,mg/100g
CrabVitaminB9,SubstancePortion,0.1,mg/100g
HardBoiledEggsVitaminE,SubstancePortion,1.05,mg/100g
HardBoiledEggsLutein,SubstancePortion,0.3,mg/100g
HardBoiledEggsZeaxanthin,SubstancePortion,0.3,mg/100g
HardBoiledEggsZinc,SubstancePortion,1.29,mg/100g
HardBoiledEggsOmega-3,SubstancePortion,300,mg/100g
HardBoiledEggsVitaminB9,SubstancePortion,0.047,mg/100g
AppleVitaminE,SubstancePortion,0.2,mg/100g
PineappleVitaminE,SubstancePortion,0.2,mg/100g
PineappleZinc,SubstancePortion,1,mg/100g
StrawberriesVitaminE,SubstancePortion,0.29,mg/100g
StrawberriesZinc,SubstancePortion,0.14,mg/100g
StrawberriesOmega-3,SubstancePortion,65,mg/100g
StrawberriesVitaminB9,SubstancePortion,0.024,mg/100g
BlueberriesVitaminE,SubstancePortion,0.57,mg/100g
BlueberriesZinc,SubstancePortion,0.16,mg/100g
BlueberriesOmega-3,SubstancePortion,58,mg/100g
BlueberriesVitaminB9,SubstancePortion,0.006,mg/100g
KiwiVitaminE,SubstancePortion,1.5,mg/100g
KiwiZinc,SubstancePortion,0.14,mg/100g
GrapesVitaminE,SubstancePortion,0.17,mg/100g
GrapesLutein,SubstancePortion,0.066,mg/100g
GrapesZeaxanthin,SubstancePortion,0.066,mg/100g
GrapesZinc,SubstancePortion,0.07,mg/100g
GrapesOmega-3,SubstancePortion,11,mg/100g
GrapesVitaminB9,SubstancePortion,0.002,mg/100g
MangoVitaminE,SubstancePortion,2.46,mg/100g
MangoLutein,SubstancePortion,0.038,mg/100g
MangoZeaxanthin,SubstancePortion,0.038,mg/100g
MangoZinc,SubstancePortion,0.11,mg/100g
MangoVitaminB9,SubstancePortion,0.053,mg/100g
FigsVitaminE,SubstancePortion,0.11,mg/100g
FigsZinc,SubstancePortion,0.15,mg/100g
FigsVitaminB9,SubstancePortion,0.006,mg/100g
BlueCheeseCrumblesVitaminE,SubstancePortion,0.25,mg/100g
BlueCheeseCrumblesZinc,SubstancePortion,2.66,mg/100g
BlueCheeseCrumblesOmega-3,SubstancePortion,0.083,mg/100g
BlueCheeseCrumblesVitaminB9,SubstancePortion,0.032,mg/100g
FetaCubesOrCrumblesVitaminE,SubstancePortion,0.18,mg/100g
FetaCubesOrCrumblesZinc,SubstancePortion,2.88,mg/100g
FetaCubesOrCrumblesVitaminB9,SubstancePortion,0.032,mg/100g
MozzarellaVitaminE,SubstancePortion,0.05,mg/100g
MozzarellaZinc,SubstancePortion,2.83,mg/100g
MozzarellaVitaminB9,SubstancePortion,0.002,mg/100g
CheddarCheeseVitaminE,SubstancePortion,0.71,mg/100g
CheddarCheeseZinc,SubstancePortion,3.11,mg/100g
CheddarCheeseOmega-3,SubstancePortion,0.114,mg/100g
CheddarCheeseVitaminB9,SubstancePortion,0.007,mg/100g
ParmesanCheeseVitaminE,SubstancePortion,0.1,mg/100g
ParmesanCheeseZinc,SubstancePortion,3.93,mg/100g
ParmesanCheeseVitaminB9,SubstancePortion,0.002,mg/100g
LettuceVitaminE,SubstancePortion,0.22,mg/100g
LettuceLutein,SubstancePortion,1.73,mg/100g
LettuceZeaxanthin,SubstancePortion,1.73,mg/100g
LettuceZinc,SubstancePortion,0.18,mg/100g
LettuceVitaminB9,SubstancePortion,0.038,mg/100g
MandarinOrangesVitaminE,SubstancePortion,0.25,mg/100g
MandarinOrangesLutein,SubstancePortion,0.406,mg/100g
MandarinOrangesZeaxanthin,SubstancePortion,0.406,mg/100g
MandarinOrangesVitaminB9,SubstancePortion,0.012,mg/100g
GrapesRaisinsVitaminE,SubstancePortion,0.12,mg/100g
GrapesRaisinsZinc,SubstancePortion,0.18,mg/100g
GrapesRaisinsVitaminB9,SubstancePortion,0.003,mg/100g
FetaCubesOrCrumblesOmega-3,SubstancePortion,0.083,mg/100g
MozzarellaOmega-3,SubstancePortion,0.083,mg/100g
ParmesanCheeseOmega-3,SubstancePortion,0.083,mg/100g
WhiteCabbageVitaminE,SubstancePortion,0.15,mg/100g
WhiteCabbageLutein,SubstancePortion,0.03,mg/100g
WhiteCabbageZeaxanthin,SubstancePortion,0.03,mg/100g
WhiteCabbageZinc,SubstancePortion,0.18,mg/100g
WhiteCabbageVitaminB9,SubstancePortion,0.043,mg/100g
RedCabbageVitaminE,SubstancePortion,0.11,mg/100g
RedCabbageLutein,SubstancePortion,0.329,mg/100g
RedCabbageZeaxanthin,SubstancePortion,0.329,mg/100g
RedCabbageZinc,SubstancePortion,0.18,mg/100g
RedCabbageVitaminB9,SubstancePortion,0.043,mg/100g
NapaCabbageVitaminE,SubstancePortion,0.01,mg/100g
